date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:47:24	163947/163947	---M--	200	added ('OK')	image/jpeg	date:Wed,%2012%20Aug%202020%2016:33:50%20GMT	http://azim.commonsupport.com/Metlife/assets/images/background/testimonial-2.jpg	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/assets/images/background/testimonial-2.jpg	(from http://azim.commonsupport.com/Metlife/index-3.html)
23:47:25	1197/1197	---M--	200	added ('OK')	image/png	date:Fri,%2014%20Aug%202020%2001:39:12%20GMT	http://azim.commonsupport.com/Metlife/assets/images/shape/pattern-51.png	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/assets/images/shape/pattern-51.png	(from http://azim.commonsupport.com/Metlife/about.html)
23:47:28	15041/15041	---M--	200	added ('OK')	image/png	date:Fri,%2014%20Aug%202020%2001:36:04%20GMT	http://azim.commonsupport.com/Metlife/assets/images/shape/pattern-50.png	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/assets/images/shape/pattern-50.png	(from http://azim.commonsupport.com/Metlife/about.html)
23:47:29	109912/109912	---M--	200	added ('OK')	image/jpeg	date:Wed,%2012%20Aug%202020%2016:51:54%20GMT	http://azim.commonsupport.com/Metlife/assets/images/background/cta-1.jpg	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/assets/images/background/cta-1.jpg	(from http://azim.commonsupport.com/Metlife/index-3.html)
23:47:33	52594/52594	---M--	200	added ('OK')	image/jpeg	date:Fri,%2014%20Aug%202020%2001:50:34%20GMT	http://azim.commonsupport.com/Metlife/assets/images/team/team-4.jpg	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/assets/images/team/team-4.jpg	(from http://azim.commonsupport.com/Metlife/team.html)
23:47:34	1187/1187	---M--	200	added ('OK')	image/png	date:Sat,%2015%20Aug%202020%2012:44:40%20GMT	http://azim.commonsupport.com/Metlife/assets/images/shape/pattern-52.png	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/assets/images/shape/pattern-52.png	(from http://azim.commonsupport.com/Metlife/testimonials.html)
23:47:38	57671/57671	---M--	200	added ('OK')	image/jpeg	date:Fri,%2014%20Aug%202020%2001:51:24%20GMT	http://azim.commonsupport.com/Metlife/assets/images/team/team-5.jpg	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/assets/images/team/team-5.jpg	(from http://azim.commonsupport.com/Metlife/team.html)
23:47:38	107096/107096	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Aug%202020%2020:42:46%20GMT	http://azim.commonsupport.com/Metlife/assets/images/background/page-title.jpg	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/assets/images/background/page-title.jpg	(from http://azim.commonsupport.com/Metlife/about.html)
23:47:38	24167/24167	---M--	200	added ('OK')	image/png	date:Sat,%2015%20Aug%202020%2012:20:28%20GMT	http://azim.commonsupport.com/Metlife/assets/images/resource/testimonial-4.png	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/assets/images/resource/testimonial-4.png	(from http://azim.commonsupport.com/Metlife/testimonials.html)
23:47:39	57764/57764	---M--	200	added ('OK')	image/jpeg	date:Fri,%2014%20Aug%202020%2001:52:06%20GMT	http://azim.commonsupport.com/Metlife/assets/images/team/team-6.jpg	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/assets/images/team/team-6.jpg	(from http://azim.commonsupport.com/Metlife/team.html)
23:47:40	26862/26862	---M--	200	added ('OK')	image/png	date:Sat,%2015%20Aug%202020%2012:20:56%20GMT	http://azim.commonsupport.com/Metlife/assets/images/resource/testimonial-5.png	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/assets/images/resource/testimonial-5.png	(from http://azim.commonsupport.com/Metlife/testimonials.html)
23:47:41	26289/26289	---M--	200	added ('OK')	image/png	date:Sat,%2015%20Aug%202020%2012:21:12%20GMT	http://azim.commonsupport.com/Metlife/assets/images/resource/testimonial-6.png	C:/My%20Web%20Sites/Insurance/azim.commonsupport.com/Metlife/assets/images/resource/testimonial-6.png	(from http://azim.commonsupport.com/Metlife/testimonials.html)
